date_nk,region,title,notes
2025-12-26,northern-ireland,Boxing Day,
2025-12-26,scotland,Boxing Day,
2026-01-01,england-and-wales,New Year’s Day,
2026-01-01,northern-ireland,New Year’s Day,
2026-01-01,scotland,New Year’s Day,
2026-01-02,scotland,2nd January,
2026-03-17,northern-ireland,St Patrick’s Day,
2026-04-03,england-and-wales,Good Friday,
2026-04-03,northern-ireland,Good Friday,
2026-04-03,scotland,Good Friday,
2026-04-06,england-and-wales,Easter Monday,
2026-04-06,northern-ireland,Easter Monday,
2026-05-04,england-and-wales,Early May bank holiday,
2026-05-04,northern-ireland,Early May bank holiday,
2026-05-04,scotland,Early May bank holiday,
2026-05-25,england-and-wales,Spring bank holiday,
2026-05-25,northern-ireland,Spring bank holiday,
2026-05-25,scotland,Spring bank holiday,
2026-06-15,scotland,World Cup bank holiday,
2026-07-13,northern-ireland,Battle of the Boyne (Orangemen’s Day),Substitute day
2026-08-03,scotland,Summer bank holiday,
2026-08-31,england-and-wales,Summer bank holiday,
2026-08-31,northern-ireland,Summer bank holiday,
2026-11-30,scotland,St Andrew’s Day,
2026-12-25,england-and-wales,Christmas Day,
2026-12-25,northern-ireland,Christmas Day,
2026-12-25,scotland,Christmas Day,
2026-12-28,england-and-wales,Boxing Day,Substitute day
2026-12-28,northern-ireland,Boxing Day,Substitute day
2026-12-28,scotland,Boxing Day,Substitute day
2027-01-01,england-and-wales,New Year’s Day,
2027-01-01,northern-ireland,New Year’s Day,
2027-01-01,scotland,New Year’s Day,
2027-01-04,scotland,2nd January,Substitute day
2027-03-17,northern-ireland,St Patrick’s Day,
2027-03-26,england-and-wales,Good Friday,
2027-03-26,northern-ireland,Good Friday,
2027-03-26,scotland,Good Friday,
2027-03-29,england-and-wales,Easter Monday,
2027-03-29,northern-ireland,Easter Monday,
2027-05-03,england-and-wales,Early May bank holiday,
2027-05-03,northern-ireland,Early May bank holiday,
2027-05-03,scotland,Early May bank holiday,
2027-05-31,england-and-wales,Spring bank holiday,
2027-05-31,northern-ireland,Spring bank holiday,
2027-05-31,scotland,Spring bank holiday,
2027-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2027-08-02,scotland,Summer bank holiday,
2027-08-30,england-and-wales,Summer bank holiday,
2027-08-30,northern-ireland,Summer bank holiday,
2027-11-30,scotland,St Andrew’s Day,
2027-12-27,england-and-wales,Christmas Day,Substitute day
2027-12-27,northern-ireland,Christmas Day,Substitute day
2027-12-27,scotland,Christmas Day,Substitute day
2027-12-28,england-and-wales,Boxing Day,Substitute day
2027-12-28,northern-ireland,Boxing Day,Substitute day
2027-12-28,scotland,Boxing Day,Substitute day
2028-01-03,england-and-wales,New Year’s Day,Substitute day
2028-01-03,northern-ireland,New Year’s Day,Substitute day
2028-01-03,scotland,New Year’s Day,Substitute day
2028-01-04,scotland,2nd January,Substitute day
2028-03-17,northern-ireland,St Patrick’s Day,
2028-04-14,england-and-wales,Good Friday,
2028-04-14,northern-ireland,Good Friday,
2028-04-14,scotland,Good Friday,
2028-04-17,england-and-wales,Easter Monday,
2028-04-17,northern-ireland,Easter Monday,
2028-05-01,england-and-wales,Early May bank holiday,
2028-05-01,northern-ireland,Early May bank holiday,
2028-05-01,scotland,Early May bank holiday,
2028-05-29,england-and-wales,Spring bank holiday,
2028-05-29,northern-ireland,Spring bank holiday,
2028-05-29,scotland,Spring bank holiday,
2028-07-12,northern-ireland,Battle of the Boyne (Orangemen’s Day),
2028-08-07,scotland,Summer bank holiday,
2028-08-28,england-and-wales,Summer bank holiday,
2028-08-28,northern-ireland,Summer bank holiday,
2028-11-30,scotland,St Andrew’s Day,
2028-12-25,england-and-wales,Christmas Day,
2028-12-25,northern-ireland,Christmas Day,
2028-12-25,scotland,Christmas Day,
2028-12-26,england-and-wales,Boxing Day,
2028-12-26,northern-ireland,Boxing Day,
2028-12-26,scotland,Boxing Day,
